NAME OF COMPANY, DATE OF LISTING,SYMBOL, SERIES, ISIN NUMBER, PAID UP VALUE, MARKET LOT, FACE VALUE
DPSC Limited,21-Apr-08,DPSCLTD,EQ,INE360C01024,1,1,1
DQ Entertainment (International) Limited,20-Jun-11,DQE,EQ,INE656K01010,10,1,10
Dredging Corporation of India Limited,15-Jan-04,DREDGECORP,EQ,INE506A01018,10,1,10
Dr. Reddy's Laboratories Limited,30-May-03,DRREDDY,EQ,INE089A01023,5,1,5
Dynacons Systems & Solutions Limited,1-Dec-11,DSSL,EQ,INE417B01040,10,1,10
Dhunseri Tea & Industries Limited,20-Jan-15,DTIL,EQ,INE341R01014,10,1,10
Ducon Infratechnologies Limited,9-Oct-12,DUCON,EQ,INE741L01018,1,1,1
Dwarikesh Sugar Industries Limited,31-Dec-04,DWARKESH,EQ,INE366A01041,1,1,1
Dynamatic Technologies Limited,14-Sep-06,DYNAMATECH,EQ,INE221B01012,10,1,10
Dynemic Products Limited,19-Jul-17,DYNPRO,EQ,INE256H01015,10,1,10
Eastern Silk Industries Limited,3-Jul-96,EASTSILK,EQ,INE962C01027,2,1,2
Easun Reyrolle Limited,23-Jul-97,EASUNREYRL,BZ,INE268C01029,2,1,2
ECE Industries Limited,24-Sep-07,ECEIND,EQ,INE588B01014,10,1,10
eClerx Services Limited,31-Dec-07,ECLERX,EQ,INE738I01010,10,1,10
Edelweiss Financial Services Limited,12-Dec-07,EDELWEISS,EQ,INE532F01054,1,1,1
Empee Distilleries Limited,26-Nov-07,EDL,EQ,INE180G01019,10,1,10
Educomp Solutions Limited,13-Jan-06,EDUCOMP,BZ,INE216H01027,2,1,2
Eicher Motors Limited,7-Sep-04,EICHERMOT,EQ,INE066A01013,10,1,10
EID Parry India Limited,10-May-95,EIDPARRY,EQ,INE126A01031,1,1,1
EIH Associated Hotels Limited,8-Apr-08,EIHAHOTELS,EQ,INE276C01014,10,1,10
EIH Limited,8-Feb-95,EIHOTEL,EQ,INE230A01023,2,1,2
Eimco Elecon (India) Limited,17-Apr-96,EIMCOELECO,EQ,INE158B01016,10,1,10
Everest Kanto Cylinder Limited,15-Dec-05,EKC,EQ,INE184H01027,2,1,2
E-Land Apparel Limited,9-Mar-07,ELAND,EQ,INE311H01018,10,1,10
Elecon Engineering Company Limited,29-Sep-06,ELECON,EQ,INE205B01023,2,1,2
Electrosteel Castings Limited,20-Jun-03,ELECTCAST,EQ,INE086A01029,1,1,1
Electrotherm (India) Limited,20-Aug-07,ELECTHERM,EQ,INE822G01016,10,1,10
ELECTROSTEEL STEELS LIMITED,19-Jun-18,ELECTROSL,BE,INE481K01021,10,1,10
Elgi Equipments Limited,22-Nov-95,ELGIEQUIP,EQ,INE285A01027,1,1,1
Elgi Rubber Company Limited,10-Aug-11,ELGIRUBCO,EQ,INE819L01012,1,1,1
Emami Infrastructure Limited,28-Jul-10,EMAMIINFRA,BE,INE778K01012,2,1,2
Emami Limited,3-Aug-06,EMAMILTD,EQ,INE548C01032,1,1,1
Emco Limited,15-Dec-05,EMCO,BE,INE078A01026,2,1,2
Emkay Global Financial Services Limited,28-Apr-06,EMKAY,EQ,INE296H01011,10,1,10
Emmbi Industries Limited,24-Feb-10,EMMBI,EQ,INE753K01015,10,1,10
Endurance Technologies Limited,19-Oct-16,ENDURANCE,EQ,INE913H01037,10,1,10
Energy Development Company Limited,2-Nov-07,ENERGYDEV,EQ,INE306C01019,10,1,10
Engineers India Limited,20-Aug-97,ENGINERSIN,EQ,INE510A01028,5,1,5
Entertainment Network (India) Limited,15-Feb-06,ENIL,EQ,INE265F01028,10,1,10
Eon Electric Limited,7-Jun-12,EON,EQ,INE076H01025,5,1,5
Equitas Holdings Limited,21-Apr-16,EQUITAS,EQ,INE988K01017,10,1,10
Eris Lifesciences Limited,29-Jun-17,ERIS,EQ,INE406M01024,1,1,1
Eros International Media Limited,6-Oct-10,EROSMEDIA,EQ,INE416L01017,10,1,10
Esab India Limited,1-Nov-95,ESABINDIA,EQ,INE284A01012,10,1,10
Escorts Limited,1-Mar-95,ESCORTS,EQ,INE042A01014,10,1,10
Essar Shipping Limited,15-Nov-11,ESSARSHPNG,EQ,INE122M01019,10,1,10
Ess Dee Aluminium Limited,28-Dec-06,ESSDEE,EQ,INE825H01017,10,1,10
Essel Propack Limited,11-Feb-02,ESSELPACK,EQ,INE255A01020,2,1,2
Ester Industries Limited,20-Jun-11,ESTER,EQ,INE778B01029,5,1,5
Euro Ceramics Limited,9-Mar-07,EUROCERA,BE,INE649H01011,10,1,10
Euro Multivision Limited,15-Oct-09,EUROMULTI,BE,INE063J01011,10,1,10
Eurotex Industries and Exports Limited,31-Jan-96,EUROTEXIND,EQ,INE022C01012,10,1,10
Eveready Industries India Limited,27-Apr-05,EVEREADY,EQ,INE128A01029,5,1,5
Everest Industries Limited,29-Mar-95,EVERESTIND,EQ,INE295A01018,10,1,10
Excel Realty N Infra Limited,3-Aug-09,EXCEL,EQ,INE688J01015,10,1,10
Excel Crop Care Limited,16-Jun-04,EXCELCROP,EQ,INE223G01017,5,1,5
Excel Industries Limited,16-Jun-04,EXCELINDUS,EQ,INE369A01029,5,1,5
Exide Industries Limited,17-Jun-03,EXIDEIND,EQ,INE302A01020,1,1,1
Fertilizers and Chemicals Travancore Limited,12-Apr-95,FACT,EQ,INE188A01015,10,1,10
Fairchem Speciality Limited,8-May-15,FAIRCHEM,EQ,INE959A01019,10,1,10
Fineotex Chemical Limited,15-Jan-15,FCL,EQ,INE045J01026,2,1,2
Future Consumer Limited,4-Jul-13,FCONSUMER,EQ,INE220J01025,6,1,6
FCS Software Solutions Limited,21-Sep-05,FCSSOFT,EQ,INE512B01022,1,1,1
FDC Limited,7-Aug-97,FDC,EQ,INE258B01022,1,1,1
Fedders Electric and Engineering Limited,15-Sep-05,FEDDERELEC,EQ,INE249C01011,10,1,10
The Federal Bank  Limited,8-Feb-95,FEDERALBNK,EQ,INE171A01029,2,1,2
Future Enterprises Limited,5-Nov-01,FEL,EQ,INE623B01027,2,1,2
Future Enterprises Limited,13-Feb-09,FELDVR,EQ,IN9623B01058,2,1,2
Fiem Industries Limited,19-Oct-06,FIEMIND,EQ,INE737H01014,10,1,10
Filatex India Limited,29-Aug-11,FILATEX,EQ,INE816B01027,2,1,2
Finolex Cables Limited,15-Feb-95,FINCABLES,EQ,INE235A01022,2,1,2
Fine Organic Industries Limited,2-Jul-18,FINEORG,EQ,INE686Y01026,5,1,5
Finolex Industries Limited,8-Feb-95,FINPIPE,EQ,INE183A01016,10,1,10
Flexituff International Limited,19-Oct-11,FLEXITUFF,EQ,INE060J01017,10,1,10
Future Lifestyle Fashions Limited,1-Oct-13,FLFL,EQ,INE452O01016,2,1,2
Federal-Mogul Goetze (India) Limited.,8-Feb-95,FMGOETZE,EQ,INE529A01010,10,1,10
Future Market Networks Limited,31-Dec-10,FMNL,EQ,INE360L01017,10,1,10
Fortis Healthcare Limited,9-May-07,FORTIS,EQ,INE061F01013,10,1,10
Foseco India Limited,5-May-03,FOSECOIND,EQ,INE519A01011,10,1,10
Future Retail Limited,29-Aug-16,FRETAIL,EQ,INE752P01024,2,1,2
Future Supply Chain Solutions Limited,18-Dec-17,FSC,EQ,INE935Q01015,10,1,10
Firstsource Solutions Limited,22-Feb-07,FSL,EQ,INE684F01012,10,1,10
Gabriel India Limited,20-Apr-05,GABRIEL,EQ,INE524A01029,1,1,1
Gujarat Ambuja Exports Limited,11-Oct-00,GAEL,EQ,INE036B01022,2,1,2
GAIL (India) Limited,2-Apr-97,GAIL,EQ,INE129A01019,10,1,10
Gyscoal Alloys Limited,27-Oct-10,GAL,BE,INE482J01021,1,1,1
Galaxy Surfactants Limited,8-Feb-18,GALAXYSURF,EQ,INE600K01018,10,1,10
Gallantt Metal Limited,4-Apr-06,GALLANTT,EQ,INE297H01019,10,1,10
Gallantt Ispat Limited,11-Oct-10,GALLISPAT,EQ,INE528K01029,1,1,1
Gammon Infrastructure Projects Limited,3-Apr-08,GAMMNINFRA,EQ,INE181G01025,2,1,2
Gandhi Special Tubes Limited,31-Jan-07,GANDHITUBE,EQ,INE524B01027,5,1,5
Ganesha Ecosphere Limited,9-Mar-15,GANECOS,EQ,INE845D01014,10,1,10
Ganesh Housing Corporation Limited,2-Mar-07,GANESHHOUC,EQ,INE460C01014,10,1,10
Ganges Securities Limited,28-Jul-17,GANGESSECU,EQ,INE335W01016,10,1,10
Gangotri Textiles Limited,7-Apr-06,GANGOTRI,BZ,INE670B01028,5,1,5
Garden Silk Mills Limited,1-Apr-03,GARDENSILK,EQ,INE526A01016,10,1,10
Garware Technical Fibres Limited,3-Apr-07,GARFIBRES,EQ,INE276A01018,10,1,10
GATI Limited,10-Oct-06,GATI,EQ,INE152B01027,2,1,2
Gayatri Highways Limited,28-Jun-18,GAYAHWS,EQ,INE287Z01012,2,1,2
Gayatri Projects Limited,22-Aug-11,GAYAPROJ,EQ,INE336H01023,2,1,2
Gateway Distriparks Limited,31-Mar-05,GDL,EQ,INE852F01015,10,1,10
GeeCee Ventures Limited,4-Oct-06,GEECEE,EQ,INE916G01016,10,1,10
Gemini Communication Limited,18-Jan-07,GEMINI,BE,INE878C01033,1,1,1
Genesys International Corporation Limited,23-Jan-03,GENESYS,EQ,INE727B01026,5,1,5
Genus Paper & Boards Limited,16-Feb-15,GENUSPAPER,EQ,INE949P01018,1,1,1
Genus Power Infrastructures Limited,8-Jul-05,GENUSPOWER,EQ,INE955D01029,1,1,1
Geojit Financial Services Limited,1-Jul-05,GEOJITFSL,EQ,INE007B01023,1,1,1
GE Power India Limited,19-Apr-00,GEPIL,EQ,INE878A01011,10,1,10
The Great Eastern Shipping Company Limited,27-Nov-06,GESHIP,EQ,INE017A01032,10,1,10
GE T&D India Limited,30-Jun-08,GET&D,EQ,INE200A01026,2,1,2
GHCL Limited,31-Jul-03,GHCL,EQ,INE539A01019,10,1,10
GIC Housing Finance Limited,8-May-96,GICHSGFIN,EQ,INE289B01019,10,1,10
General Insurance Corporation of India,25-Oct-17,GICRE,EQ,INE481Y01014,5,1,5
Gillanders Arbuthnot & Company Limited,14-Dec-09,GILLANDERS,EQ,INE047B01011,10,1,10
Gillette India Limited,30-Jul-03,GILLETTE,EQ,INE322A01010,10,1,10
Ginni Filaments Limited,10-May-95,GINNIFILA,EQ,INE424C01010,10,1,10
Gujarat Industries Power Company Limited,8-Feb-95,GIPCL,EQ,INE162A01010,10,1,10
GI Engineering Solutions Limited,30-Jan-09,GISOLUTION,EQ,INE065J01016,10,1,10
GKW Limited,20-Jul-09,GKWLIMITED,EQ,INE528A01020,10,1,10
GlaxoSmithKline Pharmaceuticals Limited,15-Dec-00,GLAXO,EQ,INE159A01016,10,1,10
Glenmark Pharmaceuticals Limited,7-Feb-00,GLENMARK,EQ,INE935A01035,1,1,1
Gujarat Lease Financing Limited,8-Feb-95,GLFL,BE,INE540A01017,10,1,10
Global Vectra Helicorp Limited,27-Oct-06,GLOBALVECT,BE,INE792H01019,10,1,10
Global Offshore Services Limited,3-May-07,GLOBOFFS,EQ,INE446C01013,10,1,10
Globus Spirits Limited,23-Sep-09,GLOBUSSPR,EQ,INE615I01010,10,1,10
GM Breweries Limited,23-Aug-95,GMBREW,EQ,INE075D01018,10,1,10
Gujarat Mineral Development Corporation Limited,17-Dec-97,GMDCLTD,EQ,INE131A01031,2,1,2
GMM Pfaudler Limited,5-Mar-18,GMMPFAUDLR,EQ,INE541A01023,2,1,2
GMR Infrastructure Limited,21-Aug-06,GMRINFRA,EQ,INE776C01039,1,1,1
GNA Axles Limited,26-Sep-16,GNA,EQ,INE934S01014,10,1,10
Gujarat Narmada Valley Fertilizers and Chemicals Limited,17-May-95,GNFC,EQ,INE113A01013,10,1,10
Goa Carbon Limited,5-Jun-07,GOACARBON,EQ,INE426D01013,10,1,10
GOCL Corporation Limited,26-Jun-14,GOCLCORP,EQ,INE077F01035,2,1,2
Godfrey Phillips India Limited,24-Jul-96,GODFRYPHLP,EQ,INE260B01028,2,1,2
Godrej Agrovet Limited,16-Oct-17,GODREJAGRO,EQ,INE850D01014,10,1,10
Godrej Consumer Products Limited,20-Jun-01,GODREJCP,EQ,INE102D01028,1,1,1
Godrej Industries Limited,25-Feb-03,GODREJIND,EQ,INE233A01035,1,1,1
Godrej Properties Limited,5-Jan-10,GODREJPROP,EQ,INE484J01027,5,1,5
Goenka Diamond and Jewels Limited,16-Apr-10,GOENKA,BZ,INE516K01024,1,1,1
Gokaldas Exports Limited,27-Apr-05,GOKEX,EQ,INE887G01027,5,1,5
Gokul Refoils and Solvent Limited,4-Jun-08,GOKUL,EQ,INE020J01029,2,1,2
Gokul Agro Resources Limited,11-Mar-16,GOKULAGRO,EQ,INE314T01025,2,1,2
Golden Tobacco Limited,8-Feb-95,GOLDENTOBC,BE,INE973A01010,10,1,10
Goldiam International Limited,29-Aug-05,GOLDIAM,EQ,INE025B01017,10,1,10
Goldstone Technologies Limited,11-Apr-01,GOLDTECH,EQ,INE805A01014,10,1,10
Goodluck India Limited,8-Jan-15,GOODLUCK,EQ,INE127I01024,2,1,2
Godawari Power And Ispat limited,25-Apr-06,GPIL,EQ,INE177H01013,10,1,10
Gujarat Pipavav Port Limited,9-Sep-10,GPPL,EQ,INE517F01014,10,1,10
GPT Infraprojects Limited,11-Jul-16,GPTINFRA,EQ,INE390G01014,10,1,10
Granules India Limited,20-Jun-05,GRANULES,EQ,INE101D01020,1,1,1
Graphite India Limited,7-Feb-03,GRAPHITE,EQ,INE371A01025,2,1,2
Grasim Industries Limited,10-May-95,GRASIM,EQ,INE047A01021,2,1,2
Gravita India Limited,16-Nov-10,GRAVITA,EQ,INE024L01027,2,1,2
Greaves Cotton Limited,9-Sep-04,GREAVESCOT,EQ,INE224A01026,2,1,2
Greenlam Industries Limited,2-Mar-15,GREENLAM,EQ,INE544R01013,5,1,5
Greenply Industries Limited,6-Mar-96,GREENPLY,EQ,INE461C01038,1,1,1
Orient Green Power Company Limited,8-Oct-10,GREENPOWER,EQ,INE999K01014,10,1,10
Grindwell Norton Limited,11-Sep-06,GRINDWELL,EQ,INE536A01023,5,1,5
The Grob Tea Company Limited,14-Jul-16,GROBTEA,BE,INE646C01018,10,1,10
GRP Limited,12-Feb-15,GRPLTD,EQ,INE137I01015,10,1,10
Gruh Finance Limited,10-Sep-04,GRUH,EQ,INE580B01029,2,1,2
Gujarat Sidhee Cement Limited,15-May-13,GSCLCEMENT,EQ,INE542A01039,10,1,10
Gujarat State Fertilizers & Chemicals Limited,6-Sep-95,GSFC,EQ,INE026A01025,2,1,2
GlaxoSmithKline Consumer Healthcare Limited,16-Jun-03,GSKCONS,EQ,INE264A01014,10,1,10
Gujarat State Petronet Limited,16-Feb-06,GSPL,EQ,INE246F01010,10,1,10
GSS Infotech Limited,7-Mar-08,GSS,EQ,INE871H01011,10,1,10
GTL Limited,29-Mar-95,GTL,EQ,INE043A01012,10,1,10
GTL Infrastructure Limited,9-Nov-06,GTLINFRA,BE,INE221H01019,10,1,10
GTN Industries Limited,2-Aug-95,GTNIND,BE,INE537A01013,10,1,10
GTN Textiles Limited,18-May-06,GTNTEX,EQ,INE302H01017,10,1,10
GTPL Hathway Limited,4-Jul-17,GTPL,EQ,INE869I01013,10,1,10
Gufic Biosciences Limited,19-Oct-04,GUFICBIO,EQ,INE742B01025,1,1,1
Gujarat Alkalies and Chemicals Limited,7-Aug-97,GUJALKALI,EQ,INE186A01019,10,1,10
Gujarat Apollo Industries Limited,4-Jun-07,GUJAPOLLO,EQ,INE826C01016,10,1,10
Gujarat Fluorochemicals Limited,25-May-95,GUJFLUORO,EQ,INE538A01037,1,1,1
Gujarat Gas Limited,15-Sep-15,GUJGASLTD,EQ,INE844O01022,10,1,10
Gujarat Raffia Industries Limited,9-Oct-96,GUJRAFFIA,BE,INE610B01024,10,1,10
Gulf Oil Lubricants India Limited,31-Jul-14,GULFOILLUB,EQ,INE635Q01029,2,1,2
GP Petroleums Limited,24-Sep-04,GULFPETRO,EQ,INE586G01017,5,1,5
Gulshan Polyols Limited,28-Jan-15,GULPOLY,EQ,INE255D01024,1,1,1
GVK Power & Infrastructure Limited,27-Feb-06,GVKPIL,EQ,INE251H01024,1,1,1
Hindustan Aeronautics Limited,28-Mar-18,HAL,EQ,INE066F01012,10,1,10
Hanung Toys and Textiles Limited,20-Oct-06,HANUNG,BE,INE648H01013,10,1,10
Harita Seating Systems Limited,6-Apr-09,HARITASEAT,EQ,INE939D01015,10,1,10
Harrisons  Malayalam Limited,8-Feb-95,HARRMALAYA,EQ,INE544A01019,10,1,10
Hathway Cable & Datacom Limited,25-Feb-10,HATHWAY,EQ,INE982F01036,2,1,2
Hatsun Agro Product Limited,20-Jun-14,HATSUN,EQ,INE473B01035,1,1,1
Havells India Limited,21-Mar-01,HAVELLS,EQ,INE176B01034,1,1,1
Sri Havisha Hospitality and Infrastructure Limited,16-Feb-00,HAVISHA,BE,INE293B01029,10,1,2
HBL Power Systems Limited,4-Jan-07,HBLPOWER,EQ,INE292B01021,1,1,1
HB Stockholdings Limited,23-Jul-18,HBSL,BE,INE550B01022,10,1,10
Hindustan Construction Company Limited,1-Apr-03,HCC,EQ,INE549A01026,1,1,1
Healthcare Global Enterprises Limited,30-Mar-16,HCG,EQ,INE075I01017,10,1,10
HCL Infosystems Limited,1-Jan-97,HCL-INSYS,EQ,INE236A01020,2,1,2
HCL Technologies Limited,6-Jan-00,HCLTECH,EQ,INE860A01027,2,1,2
Housing Development Finance Corporation Limited,23-Oct-96,HDFC,EQ,INE001A01036,2,1,2
HDFC Asset Management Company Limited,6-Aug-18,HDFCAMC,EQ,INE127D01025,5,1,5
HDFC Bank Limited,8-Nov-95,HDFCBANK,EQ,INE040A01026,2,1,2
HDFC Standard Life Insurance Company Limited,17-Nov-17,HDFCLIFE,EQ,INE795G01014,10,1,10
Housing Development and Infrastructure Limited,24-Jul-07,HDIL,EQ,INE191I01012,10,1,10
HEG Limited,10-May-95,HEG,EQ,INE545A01016,10,1,10
HeidelbergCement India Limited,15-Mar-95,HEIDELBERG,EQ,INE578A01017,10,1,10
Hercules Hoists Limited,19-Feb-08,HERCULES,EQ,INE688E01024,1,1,1
Heritage Foods Limited,27-Nov-96,HERITGFOOD,EQ,INE978A01027,5,1,5
Hero MotoCorp Limited,11-Apr-03,HEROMOTOCO,EQ,INE158A01026,2,1,2
Hester Biosciences Limited,13-Mar-15,HESTERBIO,EQ,INE782E01017,10,1,10
Hexa Tradex Limited,20-Apr-12,HEXATRADEX,BE,INE750M01017,2,1,2
Hexaware Technologies Limited,14-Jun-02,HEXAWARE,EQ,INE093A01033,2,1,2
Himachal Futuristic Communications Limited,9-Mar-11,HFCL,EQ,INE548A01028,1,1,1
H.G. Infra Engineering Limited,9-Mar-18,HGINFRA,EQ,INE926X01010,10,1,10
Hinduja Global Solutions Limited,19-Jun-07,HGS,EQ,INE170I01016,10,1,10
High Ground Enterprise Limited,24-Nov-16,HIGHGROUND,EQ,INE361M01021,1,1,1
Hikal Limited,14-Feb-01,HIKAL,EQ,INE475B01022,2,1,2
HIL Limited,26-Apr-95,HIL,EQ,INE557A01011,10,1,10
Hilton Metal Forging Limited,24-May-07,HILTON,BE,INE788H01017,10,1,10
Himatsingka Seide Limited,8-Feb-95,HIMATSEIDE,EQ,INE049A01027,5,1,5
Hindalco Industries Limited,8-Jan-97,HINDALCO,EQ,INE038A01020,1,1,1
Hindustan Composites Limited,8-May-96,HINDCOMPOS,EQ,INE310C01029,5,1,5
Hindustan Copper Limited,15-Sep-10,HINDCOPPER,EQ,INE531E01026,5,1,5
Hindustan Motors Limited,21-Feb-11,HINDMOTORS,EQ,INE253A01025,5,1,5
Hindusthan National Glass & Industries Limited,15-Apr-09,HINDNATGLS,EQ,INE952A01022,2,1,2
Hindustan Oil Exploration Company Limited,23-Sep-03,HINDOILEXP,EQ,INE345A01011,10,1,10
Hindustan Petroleum Corporation Limited,17-Jun-98,HINDPETRO,EQ,INE094A01015,10,1,10
Hind Syntex Limited,8-Feb-95,HINDSYNTEX,EQ,INE155B01012,10,1,10
Hinduja Ventures Limited,24-Apr-07,HINDUJAVEN,EQ,INE353A01023,10,1,10
Hindustan Unilever Limited,6-Jul-95,HINDUNILVR,EQ,INE030A01027,1,1,1
Hindustan Zinc Limited,21-Nov-06,HINDZINC,EQ,INE267A01025,2,1,2
Hind Rectifiers Limited,26-Dec-06,HIRECT,EQ,INE835D01023,2,1,2
Hisar Metal Industries Limited,5-Jan-17,HISARMETAL,EQ,INE598C01011,10,1,10
Hi-Tech Pipes Limited,7-May-18,HITECH,EQ,INE106T01017,10,1,10
Hitech Corporation Limited,20-Dec-07,HITECHCORP,EQ,INE120D01012,10,1,10
The Hi-Tech Gears Limited,21-Jan-02,HITECHGEAR,EQ,INE127B01011,10,1,10
HMT Limited,29-Aug-03,HMT,BZ,INE262A01018,10,1,10
Hindustan Media Ventures Limited,21-Jul-10,HMVL,EQ,INE871K01015,10,1,10
Honeywell Automation India Limited,18-Jul-03,HONAUT,EQ,INE671A01010,10,1,10
Honda Siel Power Products Limited,1-Apr-03,HONDAPOWER,EQ,INE634A01018,10,1,10
Hotel Leela Venture Limited,19-Jul-95,HOTELEELA,EQ,INE102A01024,2,1,2
Hotel Rugby Limited,3-Apr-96,HOTELRUGBY,BE,INE275F01019,10,1,10
HOV Services Limited,27-Sep-06,HOVS,EQ,INE596H01014,10,1,10
HPL Electric & Power Limited,4-Oct-16,HPL,EQ,INE495S01016,10,1,10
Himadri Speciality Chemical Limited,2-Mar-07,HSCL,EQ,INE019C01026,1,1,1
HSIL Limited,31-May-00,HSIL,EQ,INE415A01038,2,1,2
HT Media Limited,1-Sep-05,HTMEDIA,EQ,INE501G01024,2,1,2
Hubtown Limited,7-Feb-07,HUBTOWN,EQ,INE703H01016,10,1,10
Housing & Urban Development Corporation Limited,19-May-17,HUDCO,EQ,INE031A01017,10,1,10
Indiabulls Real Estate Limited,23-Mar-07,IBREALEST,EQ,INE069I01010,2,1,2
Indiabulls Housing Finance Limited,23-Jul-13,IBULHSGFIN,EQ,INE148I01020,2,1,2
Indiabulls Integrated Services Limited,18-Aug-11,IBULISL,BE,INE126M01010,2,1,2
Indiabulls Ventures Limited,2-Apr-08,IBVENTURES,BE,INE274G01010,2,1,2
ICICI Bank Limited,17-Sep-97,ICICIBANK,EQ,INE090A01021,2,1,2
ICICI Lombard General Insurance Company Limited,27-Sep-17,ICICIGI,EQ,INE765G01017,10,1,10
ICICI Prudential Life Insurance Company Limited,29-Sep-16,ICICIPRULI,EQ,INE726G01019,10,1,10
Indo Count Industries Limited,12-Sep-05,ICIL,EQ,INE483B01026,2,1,2
ICRA Limited,13-Apr-07,ICRA,EQ,INE725G01011,10,1,10
ICSA (India) Limited,28-Sep-06,ICSA,BE,INE306B01029,2,1,2
IDBI Bank Limited,20-Sep-95,IDBI,EQ,INE008A01015,10,1,10
Idea Cellular Limited,9-Mar-07,IDEA,EQ,INE669E01016,10,1,10
IDFC Limited,12-Aug-05,IDFC,EQ,INE043D01016,10,1,10
IDFC Bank Limited,6-Nov-15,IDFCBANK,EQ,INE092T01019,10,1,10
Indian Energy Exchange Limited,23-Oct-17,IEX,EQ,INE022Q01012,10,1,10
IFB Agro Industries Limited,3-Apr-96,IFBAGRO,EQ,INE076C01018,10,1,10
IFB Industries Limited,29-Mar-95,IFBIND,EQ,INE559A01017,10,1,10
IFCI Limited,26-Apr-95,IFCI,EQ,INE039A01010,10,1,10
IFGL Refractories Limited,14-Nov-17,IFGLEXPOR,EQ,INE133Y01011,10,1,10
Igarashi Motors India Limited,9-Oct-03,IGARASHI,EQ,INE188B01013,10,1,10
Indraprastha Gas Limited,26-Dec-03,IGL,EQ,INE203G01027,2,1,2
IG Petrochemicals Limited,29-Jan-07,IGPL,EQ,INE204A01010,10,1,10
IIFL Holdings Limited,17-May-05,IIFL,EQ,INE530B01024,2,1,2
Industrial Investment Trust Limited,17-Aug-10,IITL,EQ,INE886A01014,10,1,10
IL&FS Engineering and Construction Company Limited,25-Oct-07,IL&FSENGG,EQ,INE369I01014,10,1,10
IL&FS Transportation Networks Limited,30-Mar-10,IL&FSTRANS,EQ,INE975G01012,10,1,10
Indian Metals & Ferro Alloys Limited,23-Jul-10,IMFA,EQ,INE919H01018,10,1,10
India Motor Parts and Accessories Limited,7-Oct-05,IMPAL,EQ,INE547E01014,10,1,10
Impex Ferro Tech Limited,3-Feb-05,IMPEXFERRO,BE,INE691G01015,10,1,10
Indbank Merchant Banking Services Limited,8-Oct-08,INDBANK,EQ,INE841B01017,10,1,10
The Indian Hotels Company Limited,3-Jul-96,INDHOTEL,EQ,INE053A01029,1,1,1
The India Cements Limited,31-May-00,INDIACEM,EQ,INE383A01012,10,1,10
India Glycols Limited,1-Jul-05,INDIAGLYCO,EQ,INE560A01015,10,1,10
Indian Bank,1-Mar-07,INDIANB,EQ,INE562A01011,10,1,10
Indian Card Clothing Company Limited,8-Jan-97,INDIANCARD,EQ,INE061A01014,10,1,10
Indian Hume Pipe Company Limited,30-Aug-95,INDIANHUME,EQ,INE323C01030,2,1,2
InterGlobe Aviation Limited,10-Nov-15,INDIGO,EQ,INE646L01027,10,1,10
IMP Powers Limited,10-Jan-96,INDLMETER,EQ,INE065B01013,10,1,10
India Nippon Electricals Limited,7-May-97,INDNIPPON,EQ,INE092B01025,5,1,5
Indoco Remedies Limited,14-Jan-05,INDOCO,EQ,INE873D01024,2,1,2
Indo Rama Synthetics (India) Limited,20-Jun-03,INDORAMA,EQ,INE156A01020,10,1,10
Indosolar Limited,29-Sep-10,INDOSOLAR,BE,INE866K01015,10,1,10
IndoStar Capital Finance Limited,21-May-18,INDOSTAR,EQ,INE896L01010,10,1,10
Indo Tech Transformers Limited,16-Mar-06,INDOTECH,EQ,INE332H01014,10,1,10
Indo Thai Securities Limited,2-Nov-11,INDOTHAI,EQ,INE337M01013,10,1,10
Indowind Energy Limited,14-Sep-07,INDOWIND,EQ,INE227G01018,10,1,10
Indraprastha Medical Corporation Limited,17-Apr-97,INDRAMEDCO,EQ,INE681B01017,10,1,10
Ind-Swift Laboratories Limited,2-Jul-97,INDSWFTLAB,EQ,INE915B01019,10,1,10
Ind-Swift Limited,18-Oct-04,INDSWFTLTD,BE,INE788B01028,2,1,2
Indian Terrain Fashions Limited,11-Mar-11,INDTERRAIN,EQ,INE611L01021,2,1,2
IndusInd Bank Limited,28-Jan-98,INDUSINDBK,EQ,INE095A01012,10,1,10
INEOS Styrolution India Limited,29-Mar-95,INEOSSTYRO,EQ,INE189B01011,10,1,10
Infibeam Avenues Limited,4-Apr-16,INFIBEAM,EQ,INE483S01020,1,1,1
Infinite Computer Solutions (India) Limited,3-Feb-10,INFINITE,EQ,INE486J01014,10,1,10
Bharti Infratel Limited,28-Dec-12,INFRATEL,EQ,INE121J01017,10,1,10
Infosys Limited,8-Feb-95,INFY,EQ,INE009A01021,5,1,5
Ingersoll Rand (India) Limited,15-Apr-99,INGERRAND,EQ,INE177A01018,10,1,10
INOX Leisure Limited,23-Feb-06,INOXLEISUR,EQ,INE312H01016,10,1,10
Inox Wind Limited,9-Apr-15,INOXWIND,EQ,INE066P01011,10,1,10
Insecticides (India) Limited,30-May-07,INSECTICID,EQ,INE070I01018,10,1,10
Integra Garments and Textiles Limited,20-Aug-13,INTEGRA,BE,INE418N01027,3,1,3
Intellect Design Arena Limited,18-Dec-14,INTELLECT,EQ,INE306R01017,5,1,5
Intense Technologies Limited,23-Mar-17,INTENTECH,BE,INE781A01025,2,1,2
Inventure Growth & Securities Limited,4-Aug-11,INVENTURE,EQ,INE878H01016,10,1,10
Indian Overseas Bank,7-Dec-00,IOB,EQ,INE565A01014,10,1,10
