Company Name,Industry,Symbol,Series,ISIN Code
R M Drip and Sprinklers Systems Ltd.,INDUSTRIAL MANUFACTURING,RMDRIP,SM,INE219Y01018
RKEC Projects Ltd.,CONSTRUCTION,RKEC,SM,INE786W01010
Reliable Data Services Ltd.,IT,RELIABLE,SM,INE375Y01018
S K S Textiles Ltd.,TEXTILES,SKSTEXTILE,SM,INE507Y01016
S.S. Infrastructure Development Consultants Ltd.,SERVICES,SSINFRA,SM,INE182Z01015
SMVD Ploy Pack Ltd.,INDUSTRIAL MANUFACTURING,SMVD,SM,INE702Y01013
Sakar Healthcare Ltd.,HEALTHCARE SERVICES,SAKAR,SM,INE732S01012
Sanginita Chemicals Ltd.,CHEMICALS,SANGINITA,SM,INE753W01010
Sarveshwar Foods Ltd.,CONSUMER GOODS,SARVESHWAR,SM,INE324X01018
SecUR Credentials Ltd.,SERVICES,SECURCRED,SM,INE195Y01010
Servotech Power Systems Ltd.,INDUSTRIAL MANUFACTURING,SERVOTECH,SM,INE782X01017
Shanti Overseas (India) Ltd.,CONSUMER GOODS,SHANTI,SM,INE933X01016
Shradha Infraprojects (Nagpur) Ltd.,CONSTRUCTION,SHRADHA,SM,INE715Y01015
Shree Ram Proteins Ltd.,CONSUMER GOODS,SRPL,SM,INE008Z01012
Shree Tirupati Balajee FIBC Ltd.,INDUSTRIAL MANUFACTURING,TIRUPATI,SM,INE238Y01018
Shrenik Ltd.,PAPER,SHRENIK,SM,INE632X01022
Shri Ram Switchgears Ltd,INDUSTRIAL MANUFACTURING,SRIRAM,SM,INE634W01012
Sikko Industries Ltd.,SERVICES,SIKKO,SM,INE112X01017
Silly Monks Entertainment Ltd.,MEDIA & ENTERTAINMENT,SILLYMONKS,SM,INE203Y01012
Silver Touch Technologies Ltd.,IT,SILVERTUC,SM,INE625X01018
Sintercom India Ltd. ,AUTOMOBILE,SINTERCOM,SM,INE129Z01016
Softtech Engineers Ltd.,IT,SOFTTECH,SM,INE728Z01015
Solex Energy Ltd.,INDUSTRIAL MANUFACTURING,SOLEX,SM,INE880Y01017
Soni Soya Products Ltd.,CONSUMER GOODS,SONISOYA,SM,INE301Z01011
South West Pinnacle Exploration Ltd.,ENERGY,SOUTHWEST,SM,INE980Y01015
Sri Krishna Metcom Ltd.,CONSUMER GOODS,SKML,SM,INE672X01010
Steel City Securities Ltd.,FINANCIAL SERVICES,STEELCITY,SM,INE395H01011
Supreme (India) Impex Ltd.,TEXTILES,SIIL,SM,INE971P01012
Surevin BPO Services Ltd.,SERVICES,SUREVIN,SM,INE082W01014
Tara Chand Logistic Solutions Ltd.,SERVICES,TARACHAND,SM,INE555Z01012
Thejo Engineering Ltd.,SERVICES,THEJO,SM,INE121N01019
Tirupati Forge Ltd.,INDUSTRIAL MANUFACTURING,TIRUPATIFL,SM,INE319Y01016
Total Transport Systems Ltd.,SERVICES,TOTAL,SM,INE336X01012
Touchwood Entertainment Ltd.,SERVICES,TOUCHWOOD,SM,INE486Y01013
Transwind Infra Ltd.,SERVICES,TRANSWIND,SM,INE792X01016
Uniinfo Telecom Services Ltd.,TELECOM,UNIINFO,SM,INE481Z01011
United Polyfab Gujarat Ltd.,TEXTILES,UNITEDPOLY,SM,INE368U01011
Univastu India Ltd.,CONSTRUCTION,UNIVASTU,SM,INE562X01013
Uravi T and Wedge Lamps Ltd.,AUTOMOBILE,URAVI,SM,INE568Z01015
Vadivarhe Speciality Chemicals Ltd.,CHEMICALS,VSCL,SM,INE551Q01028
Vaishali Pharma Ltd.,PHARMA,VAISHALI,SM,INE972X01014
Vasa Retail and Overseas Ltd.,CONSUMER GOODS,VASA,SM,INE068Z01016
Vera Synthetic Ltd.,TEXTILES,VERA,SM,INE709Z01015
Vertoz Advertising Ltd.,MEDIA & ENTERTAINMENT,VERTOZ,SM,INE188Y01015
Wealth First Portfolio Managers Ltd.,FINANCIAL SERVICES,WEALTH,SM,INE658T01017
Worth Peripherals Ltd.,INDUSTRIAL MANUFACTURING,WORTH,SM,INE196Y01018
Zodiac Energy Ltd.,CONSTRUCTION,ZODIAC,SM,INE761Y01019
Zota Health Care Ltd.,PHARMA,ZOTA,SM,INE358U01012
